year,id,title,org,keyword,field
93,926774,台東海岸復育研究(I),財團法人成大水利海洋研究發展文教基金會,海岸復育；潮波流調查；地形測量；漂砂調查；水工模型試驗,"防災工程,土木水利工程,海洋科學"
93,968866,台東地區番荔枝裂果防護措施研究,國立屏東科技大學,,園藝
93,968977,臺東地區休耕農田不同綠肥種類對土壤肥力之影響研究,行政院農業委員會台東區農業改良場,,農業化學
93,968983,台東良質米田區土壤特性及肥力管理之研究,行政院農業委員會台東區農業改良場,,農業化學
93,968899,台東區良質米品質增進之研究,行政院農業委員會台東區農業改良場,,農藝
93,967791,台東永康山野生茶樹生長特性及經濟栽培模式之研究,行政院農業委員會茶業改良場,,農藝
93,969029,台東區鳳梨釋迦經營管理之研究,行政院農業委員會台東區農業改良場,,"農業推廣,園藝"
93,969035,台東區在地老人才藝資源運用之研究,行政院農業委員會台東區農業改良場,,農業推廣
93,969041,台東地區番荔枝害蟲偵測技術之研發與疫情監測,行政院農業委員會台東區農業改良場,,植物保護
93,969023,台東地區農特產品共同運銷及建立優良品牌之研究,行政院農業委員會台東區農業改良場,,農產運銷
93,969075,台東地區原生藥用與保健植物調查、蒐集、適應性觀察與種原圃建立,行政院農業委員會台東區農業改良場,,農藝
93,969107,資訊科技在台東區農業推廣之應用研究,行政院農業委員會台東區農業改良場,,"農業推廣,資訊科學--軟體"
93,977454,台東地區休閒農業資源及經營管理之研究,行政院農業委員會台東區農業改良場,,農業推廣
93,990910,台東海階地形之土壤時間序列研究,國立屏東科技大學環境工程與科學系,海階; 土壤時間序列; 黑沃土; 膨轉土; 化育作用,農業化學
93,1002531,蘇鐵中Terpene類合成酵素的多樣性---台東蘇鐵的Terpene類生合成基因家族之cDNA選殖，功能定性，與演化,中央研究院生物多樣性研究中心,,"生物技術(農),園藝"
93,1002829,台東蘇鐵與琉球蘇鐵之親緣地理研究(III),成功大學生物系,,"生物科學,自然生態保育"
93,997499,台東市阿美族學童父親意象研究,台東師範學院社會科教育系,,教育學
93,997502,原住民地區國民小學校長課程領導之研究---台東縣原住民族籍與非原住民族籍校長個案之比較分析,台東師範學院初等教育系,課程領導; 國民小學; 校長; 原住民教育; 九年一貫課程,教育學
93,998744,傳統的失落與再造：台東布農族政治文化研究(I),台東師範學院社會科教育系,布農族; 政治文化,政治學
93,1021526,台東縣小型學校自然科教師專業成長之合作行動研究,國立臺東大學自然科學教育學系,小型學校; 合作式行動研究; 教師專業成長,科學教育
94,1062765,地下水碳十四、氚及水質分析研究(II),國立台灣大學地質科學系(所),碳十四；氚；水質；觀測井；台中地區；花蓮台東縱谷；新竹苗栗,地球科學
94,1099389,閩、客喪葬習俗之研究---以台東縣及高雄縣美濃鎮為範圍,台東師範學院語文教育系,,"人類學,宗教"
94,1101903,我國弱勢學童補救教學現況調查---以台東縣為例,台東師範學院初等教育系,,教育學
94,1103025,傳統的失落與再造：台東布農族政治文化研究(II),國立臺東大學區域政策與發展研究所,布農族; 政治文化,政治學
94,1095247,社區參與地景保育之研究---以台東利吉惡地為例,國立花蓮師範學院生態與環境教育研究所,,"土木水利工程,自然生態保育"
94,1121727,台東海階地形之土壤時間序列研究 (III),國立屏東科技大學環境工程與科學系,,農業化學
94,1112055,以生物資訊及資訊化學方法分析台東深海微生物,國立臺東大學自然科學教育學系,,海洋科學
94,1111521,蘇鐵目Terpene類合成酵素的多樣性---台東蘇鐵和鳳尾蘇鐵的Terpene類生合成基因家族之cDNA選殖，功能定性，與演化(I),中央研究院生物多樣性研究中心,,"生物科學,自然生態保育"
94,1126235,弱勢地區科普活動---台東縣生活科學推廣教育計畫,國立臺東大學自然科學教育學系,,科學教育
94,1154506,台灣地區野生動物多樣性資源之調查研究---台東縣野生動物及台灣中部與北部淡水蝦蟹類,行政院農業委員會特有生物研究保育中心,野生動物；生物多樣性；台灣；台東縣；,"自然生態保育,生物科學"
94,1151947,台東縣發展農業文化創意產業之研究,私立台中健康暨管理學院,文化創意產業；地方文化產業化；文化觀光；社區總體營造；文化地景；休閒農業；,農業推廣
94,1158191,台東一號番荔枝冬季裂果與肥培關係之研究,行政院農業委員會台東區農業改良場,裂果；肥培管理；番荔枝；,"農業化學,園藝"
94,1158074,臺東地區良質米品質增進之研究,行政院農業委員會台東區農業改良場,水稻；水質；土壤；肥培管理；產量；,農藝
94,1173409,「製糖工廠破損檢測及修護設計」及「台東糖場歷史建築及廠區土地活化利用」,民營企業/公司-I{漢光建築師事務所},台東糖廠；製糖工廠,"食品科技(工),土木水利工程"
94,1158246,台東縣農村老人才藝資源運用之研究,行政院農業委員會台東區農業改良場,老人；才藝資源；志工；,農業推廣
94,1158252,臺東區鳳梨釋迦資訊系統之建立,行政院農業委員會台東區農業改良場,鳳梨釋迦；資訊；產銷；,農業推廣
94,1171126,臺東區農業改良場試驗研究及推廣開放參觀,行政院農業委員會台東區農業改良場,,農業推廣
94,1160039,台東地區番荔枝裂果防護措施研究,國立屏東科技大學,番荔枝；裂果；氣象環境；,園藝
94,1158226,臺東區所屬各級農會轉型休閒農業之經營效益研究,行政院農業委員會台東區農業改良場,休閒農業；農會；經營；,農業推廣
94,1158232,臺東地區休閒農業經營管理之研究,行政院農業委員會台東區農業改良場,資源；經營；休閒農業；,農業推廣
94,1158239,從整合台東區鄉村社區資源探討發展社區型休閒農業之可行性研究,行政院農業委員會台東區農業改良場,鄉村社區；休閒農業；整合；,農業推廣
94,1158287,台東地區番荔枝害蟲偵測技術之研發與疫情監測,行政院農業委員會台東區農業改良場,番荔枝；害蟲；監測；綜合防治；,植物保護
96,1416543,縮短科學學習落差(「台東地區Σ(sum)科學遊戲與科技傳佈」之活動計畫),國立臺東大學教育學系(所),科學遊戲;  傳佈;  科技,科學教育
96,1416550,台東縣科普教育向下紮根行動研究方案,國立臺東大學教育學系(所),行動研究;  科學遊戲;  持續性評量,科學教育
96,1426824,台東縣原住民之藝術創新、展演場域與社區博物館機制研究,國立臺東大學南島文化研究所,台東縣；原住民；藝術創新；展演場域；社區博物館,藝術
96,1458638,台灣板塊邊界觀測計畫(II)---台東地區之潛移觀測研究(II),中央研究院地球科學研究所,全球定位系統; 滑移; 變形監測; 雷射干涉,地球科學
96,1484842,不同綠肥作物對於臺東良質米區土壤及水稻產量的影響,農委會台東區農業改良場作物環境課,良質米區；水稻產量；綠肥作物；,農業化學
96,1484548,臺東區農產品產銷履歷制度推廣策略之研究,農委會台東區農業改良場農業推廣課,稻米；農產品產銷履歷制；推廣策略；,農業推廣
96,1484667,臺東縣農會轉型休閒農業之經營效益研究,農委會台東區農業改良場農業推廣課,休閒農業；農會；農業經營；,農業推廣
96,1484499,台東地區生質能源及休耕作物疫病蟲害發生調查,農委會台東區農業改良場作物環境課,消長；監測；生質能源；休耕作物；,植物保護
