year,author,title,school,dept,degree,advisor,url
106,黃趙彬,運用國產木材與臺灣森林環境知識設計教育型桌上遊戲-以臺東縣防治外來植物為例,國立嘉義大學,木質材料與設計學系研究所,碩士,李安勝,https://hdl.handle.net/11296/ykk4x7
106,劉曉菁,社區民眾對大腸癌篩檢認知與行為之研究-以臺東縣東河鄉為例,國立臺東大學,進修部運動休閒管理碩(假日),碩士,周財勝,https://hdl.handle.net/11296/2u98j3
107,陳郁靜,國立臺東大學附屬特殊教育學校高職部畢業生就業現況及困境之研究,國立臺東大學,進修部暑期特教碩士班,碩士,劉明松,https://hdl.handle.net/11296/4uw6a7
107,劉奐妤,試論提早進入教育實習現場與教育專業支持系統對師資生之影響─以臺東大學補救教學學程的教學實習歷程為例,國立臺東大學,進修部暑期特教碩士班,碩士,曾世杰,https://hdl.handle.net/11296/89pcaz
107,李松蔚,永續生活實踐之研究─以台東從事自然農法的農戶為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,江昱仁,https://hdl.handle.net/11296/rqc86b
107,張筱菁,以人格特質觀點探討工作壓力與 休閒調適策略關係之研究 -以臺東縣教保服務人員為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,張凱智,https://hdl.handle.net/11296/fjyd73
107,廖勁穎,氮肥對臺東地區水稻生育、產量及品質的影響,國立屏東科技大學,農園生產系所,碩士,梁佑慎,https://hdl.handle.net/11296/z23u75
107,蔡秀寶,東排灣族頭目制度變遷之研究 —以台東達仁鄉土坂部落為例,國立高雄師範大學,臺灣歷史文化及語言研究所,碩士,劉正元 博士,https://hdl.handle.net/11296/7jmacf
107,蔡辰業,工作壓力與工作滿足對志願役士兵留營意願之探究─以陸軍台東地區指揮部為例,義守大學,工業管理學系,碩士,魏乃捷,https://hdl.handle.net/11296/83tqk3
107,王羿文,藝術節慶主導地方創生之研究—以台灣好基金會於台東池上的文化規劃為例,國立臺灣師範大學,表演藝術研究所,碩士,歐陽穎華,https://hdl.handle.net/11296/96m5uf
107,莊依芳,教師旅遊動機與旅遊型態之研究-以新北市、台東縣國小教師為例,康寧大學,休閒管理研究所,碩士,胡子陵,https://hdl.handle.net/11296/jdtn22
107,李明成,提升偏鄉經濟發展之研究-以臺東縣達仁鄉為例,建國科技大學,土木與防災研究所,碩士,儲慶美博士,https://hdl.handle.net/11296/jb42t7
107,王叔杰,以地方創生觀點探究臺東鸞山部落之創意生活產業經營策略,中華大學,科技管理學系,碩士,張耀文,https://hdl.handle.net/11296/5uz48e
107,王宗立,台灣野溪溫泉出水特性之研究－ 以高雄七坑溫泉與台東六口溫泉為例,嘉南藥理大學,觀光事業管理系,碩士,陳忠偉,https://hdl.handle.net/11296/r7sb8x
107,彭書偉,臺東金崙溫泉監測井建置與水文特性之研究,嘉南藥理大學,觀光事業管理系,碩士,陳忠偉,https://hdl.handle.net/11296/hxy3x8
107,李宗藩,我國原住民部落發展社會企業可行性探討-以有限責任臺東縣東海岸原住民社區合作社為例,中國文化大學,社會企業管理碩士在職學位學程,碩士,郭耀昌博士,https://hdl.handle.net/11296/n8q437
107,王冠婷,國家體制下榮民對邊陲地區的開拓─以退輔會台東縣農場為例,國立高雄師範大學,地理學系,碩士,吳育臻,https://hdl.handle.net/11296/yj8nd9
107,葉炳昌,國軍在山坡林地新建工程之法規探討 -以臺東基地為例,高苑科技大學,土木工程研究所,碩士,呂意達,https://hdl.handle.net/11296/h54v8w
107,黃建倫,UAS航測加速地籍圖整理之研究-以台東縣蘭嶼鄉椰油村為例,嘉南藥理大學,應用空間資訊系,碩士,林宏麟,https://hdl.handle.net/11296/fyjf9v
107,羅翊文,台東縣偏鄉國民小學教師工作壓力與因應策略之研究,國立臺北教育大學,教育經營與管理學系,碩士,林曜聖,https://hdl.handle.net/11296/h93v4t
107,鍾文真,自然農法、社區發展與土地倫理之關聯探討 -以臺東縣某社區為例,國立高雄師範大學,科學教育暨環境教育研究所,碩士,沈明勳,https://hdl.handle.net/11296/3txn92
107,呂佩娟,因應氣候變遷之低碳永續家園行動研究-以臺東縣為例,銘傳大學,都市規劃與防災學系碩士在職專班,碩士,"洪啟東
林文苑",https://hdl.handle.net/11296/x9w8yk
107,李鎔全,發掘休閒農業區之遊客關注面向–以臺東縣池上鄉線上負評為例,國立臺灣科技大學,企業管理系,碩士,林孟彥,https://hdl.handle.net/11296/9jwzb9
107,鄭樺駿,臺東縣達仁鄉大規模崩塌潛勢區降雨及地下水位變動引致邊坡崩壞之研究,國立成功大學,土木工程學系碩士在職專班,碩士,"李德河
吳建宏",https://hdl.handle.net/11296/d8xsvj
107,郭馥禎,台東發展外海箱網養殖之海域使用研析,國立成功大學,海洋科技與事務研究所,碩士,陳璋玲,https://hdl.handle.net/11296/62degx
107,金承龍,「軌道建設之系統機電工程」合併發包或專業發包之效益探討【臺鐵南迴鐵路臺東潮州段電氣化工程建設計畫為例】,國立成功大學,工程管理碩士在職專班,碩士,蔡明田,https://hdl.handle.net/11296/w6ydhg
107,蔡家琳,少棒選手手眼協調選擇反應能力之比較研究—以花蓮縣和台東縣為例,國立東華大學,體育與運動科學系,碩士,孫苑梅,https://hdl.handle.net/11296/swdvmq
107,張秝嘉,家長對幼兒情緒管教的困境與改善策略：以台東縣一所幼兒園為例,國立東華大學,教育行政與管理學系,碩士,潘文福,https://hdl.handle.net/11296/v3x82t
107,林雪惠,臺東地區高職部特教班教師對技能檢定訓練之規劃,國立彰化師範大學,特殊教育學系,碩士,田凱倩,https://hdl.handle.net/11296/p9c8ah
107,劉穎亮,裝設家用太陽能發電系統社區意願差異分析-以臺東地區為例,和春技術學院,電機工程研究所,碩士,林新發,https://hdl.handle.net/11296/48r23z
107,邱珮瑜,臺東市警務宿舍建築與空間變遷之研究,樹德科技大學,建築與室內設計研究所,碩士,楊博淵,https://hdl.handle.net/11296/z229b7
107,鄭伊玲,臺東地區休閒釣魚參與者釣魚動機與休閒效益之研究,臺北市立大學,休閒運動管理學系碩士在職專班,碩士,薛銘卿,https://hdl.handle.net/11296/f22xmf
107,陳怡君,國中學生對於線上英語廣泛閱讀之看法:以台東縣一所國中為例,國立臺灣師範大學,英語學系,碩士,陳秋蘭,https://hdl.handle.net/11296/7b6vaw
107,黃舒屏,公立地方美術館的藝術展覽規劃：台東美術館案例研究,國立臺灣師範大學,美術學系,碩士,廖仁義,https://hdl.handle.net/11296/qzc98r
107,洪嘉吟,一九六〇年代臺東長光阿美族音樂研究——以《歐樂思－史惟亮檔案》為例,國立臺灣師範大學,民族音樂研究所,碩士,呂鈺秀,https://hdl.handle.net/11296/6skvjg
107,曾慶賢,臺東地區臺灣油杉生育地植群分析之研究,國立嘉義大學,森林暨自然資源學系研究所,碩士,張坤城,https://hdl.handle.net/11296/4w969h
107,范呈豪,影響台東外銷稻米之因素研究—以關山地區為例,國立屏東科技大學,農企業管理系所,碩士,林永順,https://hdl.handle.net/11296/rahrq5
107,吳岱霖,山坡地劃出之探討-以臺東縣成功鎮為例,國立屏東科技大學,土木工程系所,碩士,丁澈士,https://hdl.handle.net/11296/e83jzn
107,楊宜螓,居家服務員支付制度之探討-以臺東為例,國立屏東科技大學,社會工作系所,碩士,李聲吼,https://hdl.handle.net/11296/qs2mq9
107,黃奇明,既有建築之綠建築指標改標策略研究-以臺東市區辦公廳舍為例,國立屏東科技大學,土木工程系所,碩士,王裕民,https://hdl.handle.net/11296/28g2ev
107,徐茂華,民宿經營策略之研究—以臺東某複合式經營民宿為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,碩士,蔡進士,https://hdl.handle.net/11296/65bzn7
107,歐秀亭,國中生英語成績與馬太效應之研究－ 以臺東縣某國中為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,謝志龍,https://hdl.handle.net/11296/34vve3
107,蔡坤龍,校園受霸凌因素之探討-以臺東縣某高職為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,謝志龍,https://hdl.handle.net/11296/ddy3mu
107,陽昇宏,臺東市馬蘭阿美從「男子婚入妻家」到「男娶女嫁」之演變及影響,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,李玉芬、李玉芬,https://hdl.handle.net/11296/9e24xu
107,陳暐智,以IPA模式分析曾受山域搜救訓練人員對人員特質、技能及能力評價－以台東縣消防局為例,國立臺東大學,綠色產業高階管理碩士在職專班,碩士,謝昆霖,https://hdl.handle.net/11296/2ht5z4
107,莊佩璋,以人格特質觀點探討休閒參與、休閒阻礙與休閒調適策略之關係-以臺東地區矯正機關收容人為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,碩士,張凱智,https://hdl.handle.net/11296/fen8pe
107,金忠勇,臺東縣原住民重點學校五年級學生 健康體位相關因素之研究,國立臺東大學,進修部教育行政碩士班(夜間),碩士,李偉俊,https://hdl.handle.net/11296/7gy6fb
107,陳又麟,參與動機與服務品質對臺東某健身房顧客行為意向之研究- 以生活型態和顧客背景變項為調節變數,國立臺東大學,進修部環境經濟資管碩專(假日),碩士,林育珊,https://hdl.handle.net/11296/yk7pf3
107,鐘大鈞,正向管教運用於國中班級經營之行動研究─以臺東縣日出國中九年愛班為例,國立臺東大學,進修部教育行政碩士班(夜間),碩士,梁忠銘,https://hdl.handle.net/11296/64pung
107,吳佳盈,國立臺東大學附屬特殊教育學校住宿生的休閒參與探究-在校與返家間的異同,國立臺東大學,進修部休閒事業管理組碩(夜間）,碩士,蔡進士,https://hdl.handle.net/11296/uutp6m
107,邱克偉,災後社區重建與社區營造-以台東縣金峰鄉嘉蘭村為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,李玉芬,https://hdl.handle.net/11296/d3327r
107,侯貴菁,應用IPA法來探討實物銀行的服務品質-以臺東縣為例,國立臺東大學,進修部環境經濟資管碩專(假日),碩士,謝昆霖,https://hdl.handle.net/11296/dtm47m
107,楊碧娥,運用IPA分析法探討餐旅業者參與美食展之預期效益分析－以台東縣慢食節為例,國立臺東大學,進修部環境經濟資管碩專(假日),碩士,謝昆霖,https://hdl.handle.net/11296/jk2s69
107,黃煒宸,零售便利商店之影印機服務品質調查 ─以台東縣為例,國立臺東大學,進修部環境經濟資管碩專(假日),碩士,謝昆霖,https://hdl.handle.net/11296/hxx6ys
107,蔡嘉榮,台東地區紅龍果種植者種植行為調查研究,國立臺東大學,生命科學系碩士班,碩士,黃祥恩,https://hdl.handle.net/11296/9s44xq
107,李惠玉,臺東縣金峰鄉sapulju部落pavavaljung巴法法瀧開拓者頭目家族遷移研究,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,李玉芬,https://hdl.handle.net/11296/tvcq4y
107,沈玉軒,大型重型機車騎乘者遊憩品質與家人支持程度之研究-以台東東岸重機車隊為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,碩士,蔡進士,https://hdl.handle.net/11296/k7j92p
107,吳旭航,非營利組織轉型社會企業探討： 以社團法人台東縣關懷生命協會為例,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,劉麗娟,https://hdl.handle.net/11296/763723
107,李福隆,臺東縣偏鄉免費乘車政策規劃歷程與成效之研究,國立臺東大學,進修部公共與文化事務碩士專班(假日),碩士,劉麗娟,https://hdl.handle.net/11296/pqkqb7
107,劉柏宏,運用GIS空間資料分析模式建立坡地崩塌潛勢地圖－以臺東知本溪流域為例,國立臺東大學,進修部環境經濟資管碩專(假日),碩士,王文清,https://hdl.handle.net/11296/5uj89b
107,許秀儀,探討大學生低碳飲食行為之調查研究－以臺東大學學生為例,國立臺東大學,進修部休閒事業管理組碩(夜間）,碩士,江昱仁,https://hdl.handle.net/11296/y655m8
107,林于勝,臺東縣公立幼兒園教保服務人員對早期療育個案管理員成效滿意度之研究,國立臺東大學,進修部暑期學前特幼碩士班,碩士,熊同鑫、熊同鑫,https://hdl.handle.net/11296/w5pzu4
107,林承均,台東縣高中職學生領導技能之調查研究,國立臺東大學,進修部暑期學校行政碩士班,碩士,李偉俊,https://hdl.handle.net/11296/3bvu52
107,林鳳英,知覺價值、觀光吸引力、過去購買行為與行為意圖關聯性之研究―以國立臺東大學先導型生技工廠為例,國立臺東大學,生命科學系碩士班,碩士,李俊霖,https://hdl.handle.net/11296/ugg5nm
