file_year,title,school,dept,author,url
102,臺東縣溫泉區行動化多語系導覽系統建置,嘉南藥理大學,休閒保健管理系,許甫吏,https://hdl.handle.net/11296/n5yum7
102,應用地理資訊系統技術建置客家文化基礎資料庫-以臺東縣為例,建國科技大學,土木與防災研究所,曾雅湄,https://hdl.handle.net/11296/9x6r3s
102,以計畫行為理論驗證消防人員參與休閒活動意圖之研究-以台東消防人員為例,國立臺東大學,休閒事業管理碩士在職專班,柯智升,https://hdl.handle.net/11296/qqw6zv
102,臺東縣國中生知覺導師僕人領導行為與班級經營效能關係之研究,國立臺東大學,教育學系(所),林美惜,https://hdl.handle.net/11296/qh9tk5
102,臺東縣國民小學教師專業發展、教學效能與工作壓力關係之研究,國立臺東大學,教育學系(所),林月貞,https://hdl.handle.net/11296/5366rf
102,台東縣國小教師資訊素養、自我效能與工作滿意度關係之研究,國立臺東大學,教育學系(所),黃啟榮,https://hdl.handle.net/11296/f9d94s
102,臺東縣國小教師休閒行為參與及教學效能關係探討之研究,國立臺東大學,文化資源與休閒產業學系,陳俊瑋,https://hdl.handle.net/11296/e3f5s9
102,臺東縣國小教師生態旅遊認知與態度之研究,國立臺東大學,文化資源與休閒產業學系,張儷馨,https://hdl.handle.net/11296/23q457
102,臺東縣國小高年級學童休閒參與,國立臺東大學,文化資源與休閒產業學系,巫佩娟,https://hdl.handle.net/11296/x4h3g3
102,臺東縣國中原住民學習障礙學生讀寫表現調查研究,國立臺東大學,特殊教育學系碩士在職專班,許文綺,https://hdl.handle.net/11296/f5pq7a
102,臺東縣廢棄物處理方式的演變,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,陳吉隆,https://hdl.handle.net/11296/3fufr8
102,臺東縣國民中學事務組長辦理採購業務工作壓力及因應方式之研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,李婉瑜,https://hdl.handle.net/11296/vuztm2
102,族群、土地與跨域治理：臺東金針山個案研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,鍾明智,https://hdl.handle.net/11296/u7jn52
102,臺東縣政府人事人員情緒管理、工作滿意度及工作倦怠之關係研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,邱致昀,https://hdl.handle.net/11296/jqv52f
102,司法矯正機關教誨志工參與動機與壓力調適之研究-以台東監獄為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,丁原龍,https://hdl.handle.net/11296/dj4bzs
102,「鄰避」與「迎臂」：地方治理議題觀察與研析－以臺東市南王里油彈庫睦鄰專案改善計畫為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,胡俊玉,https://hdl.handle.net/11296/hfrz5z
102,臺東縣「少年自立生活方案」之實施與成效研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,歐斐君,https://hdl.handle.net/11296/3qm293
102,社區發展及資源整合運用之探討-以臺東縣鹿野鄉為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,廖于萱,https://hdl.handle.net/11296/jf25qp
102,偏鄉經濟弱勢家庭之研究-台東縣成功鎮的四個個案,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,石秋菊,https://hdl.handle.net/11296/4vmuss
102,地方稅務機關廉政角色之研究以臺東縣稅務局為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,吳峻瑋,https://hdl.handle.net/11296/79zuk8
102,陸軍戰鬥部隊志願役軍官工作壓力與離職傾向之研究-台東某部隊為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,師建暉,https://hdl.handle.net/11296/5vhf4p
102,從政策利害關係人與政策移植觀點探討無障礙環境建構過程中使用者面臨之問題-以臺東縣校園為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,陳威華,https://hdl.handle.net/11296/z72h4p
102,臺東縣國小學童在樂樂棒球運動的,國立臺東大學,體育教學碩士在職專班,楊立愷,https://hdl.handle.net/11296/tm9u7w
102,臺東縣環保自然葬政策執行之研究,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,吳玉敏,https://hdl.handle.net/11296/tkr9v5
102,修復式正義與調解委員會績效之研究-以台東縣鄉鎮市為例,國立臺東大學,公共與文化事務學系區域政策與發展研究碩士班,文隆璋,https://hdl.handle.net/11296/8g3yx2
102,台東縣弱勢地區幼兒學前聲韻注音介入對閱讀能力的長期成效研究,國立臺東大學,幼兒教育學系碩士班,林聖瑜,https://hdl.handle.net/11296/wj3np7
102,「問題本位學習」教學模式在高職冷凍空調專業領域實施成效之行動研究–以台東縣某高職為例,國立臺東大學,教育學系(所),許明財,https://hdl.handle.net/11296/73aq24
102,從策略管理論臺東縣觀光產業之地方治理,開南大學,公共事務管理學系,王思晴,https://hdl.handle.net/11296/9c9hek
102,公有非公用土地設定地上權之財務分析研究 - 以臺東某觀光飯店財務評估為例,長榮大學,土地管理與開發學系碩士班,吳俊璋,https://hdl.handle.net/11296/5n9x4a
102,洛神葵總酚及總類黃酮之研究(台東太麻里洛神葵),正修科技大學,化妝品與時尚彩妝研究所,劉玥彣,https://hdl.handle.net/11296/t73bb8
102,台東市石川區水資源供需之探討,高苑科技大學,土木工程研究所,鍾文元,https://hdl.handle.net/11296/egh6x3
102,台東區域的荖葉及荖花空間分布與產銷,國立高雄師範大學,地理學系,林奕帆,https://hdl.handle.net/11296/venrmc
102,台東地區國中特色課程發展現況調查,國立高雄師範大學,工業科技教育學系,李素鈴,https://hdl.handle.net/11296/qkyczb
